label,text,urls,sender,spfrecord,text_length,word_count,avg_words_per_sentence,suspicious_word_count,urgency_score,exclamation_count,caps_ratio,money_mentions,personal_info_requests,sender_domain_suspicious,sender_tld,sender_domain_length,sender_domain_spoofed,url_count,suspicious_url,url_shortener,url_ip_address,url_suspicious_tld,timestamp,day_of_week,hour_sent,email_client,dkim_valid,dmarc_pass,priority,message_size_bytes
legit,Monthly statement for PicPay is ready,inter.org,noreply@inter.in,pass,37,6,6.0,0,0,0,0.081,0,0,True,.in,8,False,1,False,False,False,False,2025-05-30 15:23:27,Friday,15,Apple Mail,False,True,normal,6554
phishing,"IPO OPPORTUNITY: Get 495 shares before public! Pay R$5,000",secure-pine.suspicious,security@fake-pine.com,fail,58,9,9.0,0,0,1,0.293,1,0,True,.com,13,True,1,True,False,False,False,2025-05-13 00:15:27,Tuesday,0,Unknown,False,False,low,2740
legit,System maintenance scheduled for 17/11/2024,icici.jp,noreply@icici.fr,pass,43,5,5.0,0,0,0,0.023,0,0,True,.fr,8,False,1,False,False,False,False,2025-05-24 13:57:27,Saturday,13,Apple Mail,True,True,normal,6641
legit,Your Immigration application TXN485426 has been approved,bank_of_china.fr,noreply@bank_of_china.com,pass,56,7,7.0,0,0,0,0.089,0,0,False,.com,17,False,1,False,False,False,False,2025-06-19 13:02:27,Thursday,13,Outlook,True,True,normal,1486
phishing,"IPO OPPORTUNITY: Get 884 shares before public! Pay $2,500",verify-capitalone.bogus,security@fake-capitalone.com,fail,57,9,9.0,0,0,1,0.281,1,0,True,.com,19,True,1,False,False,False,False,2025-07-12 09:29:27,Saturday,9,Thunderbird,False,False,normal,883
phishing,SYSTEM UPDATE REQUIRED: Download security patch within 16 hours,verify-standard_bank.suspicious,security@fake-standard_bank.com,fail,63,9,9.0,1,0,0,0.333,0,0,True,.com,22,True,1,True,False,False,False,2025-03-30 15:06:27,Sunday,15,Outlook,False,False,high,2119
legit,Your data export is ready for download,votorantim.edu,noreply@votorantim.edu,pass,38,7,7.0,0,0,0,0.026,0,0,False,.edu,14,False,1,False,False,False,False,2025-07-29 12:51:27,Tuesday,12,Thunderbird,True,True,normal,6402
legit,DigiLocker statement for Q4 2023 is now available,hdfc.jp,noreply@hdfc.au,pass,49,8,8.0,0,0,0,0.061,0,0,True,.au,7,False,1,False,False,False,False,2025-08-16 09:24:27,Saturday,9,Gmail,False,True,normal,2305
phishing,SECURITY BREACH: Inter customer data compromised! Secure your account,secure-inter.fake,security@fake-inter.com,fail,69,9,9.0,2,0,1,0.232,0,0,True,.com,14,True,1,True,False,False,False,2025-04-26 03:06:27,Saturday,3,Outlook,False,False,normal,2950
phishing,MALWARE ALERT: 21 threats detected on your system,verify-tdbank.malicious,security@fake-tdbank.com,fail,49,8,8.0,1,0,0,0.245,0,0,True,.com,15,True,1,True,False,False,False,2025-04-15 00:42:27,Tuesday,0,Outlook,False,False,high,530
phishing,PENSION FUND: Your retirement savings at risk! Transfer C$500,secure-national_bank.illegit,security@fake-national_bank.com,fail,61,9,9.0,0,0,1,0.23,1,0,True,.com,22,True,1,False,False,False,False,2025-05-02 01:01:27,Friday,1,Unknown,True,False,normal,2516
phishing,"TRADING ACCOUNT: Margin call! Deposit C$5,000 or lose positions",alert-laurentian.evil,security@fake-laurentian.com,fail,63,9,9.0,1,0,1,0.27,1,0,True,.com,19,True,1,True,False,False,False,2025-04-22 23:13:27,Tuesday,23,Yahoo Mail,False,False,normal,2698
legit,IOB mobile banking PIN changed successfully,iob.com,noreply@iob.fr,pass,43,6,6.0,0,0,0,0.14,0,1,True,.fr,6,False,1,False,False,False,False,2025-03-31 08:03:27,Monday,8,Outlook,True,False,normal,2751
legit,Security scan completed - no threats found,none,noreply@promsvyazbank.org,pass,42,7,7.0,0,0,0,0.024,0,0,False,.org,17,False,0,False,False,False,False,2025-07-15 17:23:27,Tuesday,17,Thunderbird,True,True,normal,1346
legit,Annual investment report for 2023 is available,resona.fr,noreply@resona.co.uk,pass,46,7,7.0,0,0,0,0.022,0,0,True,.uk,12,False,1,False,False,False,False,2025-07-08 12:12:27,Tuesday,12,Gmail,True,False,normal,4500
legit,"Stripe transaction limit updated to C$2,500",bmo.org,noreply@bmo.edu,pass,43,6,6.0,1,0,0,0.047,1,0,False,.edu,7,False,1,False,False,False,False,2025-07-18 15:51:27,Friday,15,Yahoo Mail,True,True,high,3385
